,mean,std,sharpe,NIKE,AMZN,GOOGLE,TESLA,MSFT
0,0.000623366436832315,0.02259858564444905,-0.857426826086668,0.27033253718068123,0.15329439230229386,0.29989681525296086,0.24358136226992383,0.03289489299414017
1,0.0002758116860031138,0.01985972497237378,-0.993175300334449,0.31458233472476604,0.24542396358810226,0.2534607207214677,0.04130930949822033,0.1452236714674436
2,0.0006194795333445062,0.02336980379144368,-0.8292975259702963,0.11559969078493085,0.288927499985812,0.200730866736876,0.25650349211181583,0.1382384503805653
3,0.0008405343065788452,0.025819404456906652,-0.7420568404433522,0.09858785174831003,0.24060742084251596,0.027687209883803597,0.3590689942533857,0.2740485232719846
4,0.0006922540646387108,0.02256216610760087,-0.8557576361808978,0.20189742166277824,0.09441899016842008,0.25852077269632756,0.23786013424674832,0.2073026812257259
5,0.0004326193576836267,0.021122533222003553,-0.9263747125715412,0.12618377001065284,0.3025740174879495,0.028397867868604966,0.10002547795846915,0.44281886667432363
6,0.0003807991058004459,0.02106339211934351,-0.9314359616456227,0.2587675386724135,0.3361611624833877,0.11320798901186788,0.12871618884971148,0.1631471209826194
7,0.0005902666726077593,0.02122234850349431,-0.914589321921482,0.11199254769554791,0.07679387773055223,0.2811792077538516,0.13412135859986288,0.3959130082201855
8,0.00040817873301381147,0.020745922226989632,-0.9443697442140219,0.1403502356332797,0.26733631028059696,0.22482429523655242,0.10028717667541391,0.26720198217415697
9,0.0006969387509849794,0.023787680844957016,-0.8114730214697354,0.3494692451256512,0.1682626415555738,0.1252065948129582,0.2963739464278317,0.06068757207798499
10,0.0008420681005397063,0.023796410676827903,-0.8050765369466247,0.08455598730077943,0.0031140492479214232,0.33284861174733305,0.2812146769910959,0.2982666747128701
11,0.0003009152731966579,0.020108308722086216,-0.9796490097233589,0.3784961858224191,0.2224816341562578,0.2757248223579818,0.06777336115128192,0.055523996512059234
12,0.000675060224878545,0.022761416982681474,-0.8490218245122991,0.21530462204249923,0.15174856547254212,0.1820727214384421,0.2464198982866463,0.20445419275987026
13,0.00023302951282410113,0.019811407911202353,-0.9977569779883576,0.2937895563661355,0.2967762591543033,0.16130904502789942,0.016355301398712007,0.2317698380529497
14,0.0004252598073413759,0.02119070069905931,-0.9237419975228842,0.12131936529530234,0.23096913265239002,0.482487019364282,0.13226196246812982,0.032962520219895784
15,0.0006814743699904847,0.022437373652148155,-0.8609976341041127,0.10915556477485626,0.11389206472732084,0.2567733016969236,0.21608614036020532,0.3040929284406939
16,0.00033112023437545856,0.020208861701286298,-0.9732799430446206,0.3202428121346137,0.1959051914823095,0.39241135592672144,0.08049192764491699,0.01094871281143843
17,0.0003377893891437909,0.02113909091689267,-0.9301351078983129,0.04649789036191355,0.37300370710219616,0.23849891188867337,0.0832756873442974,0.2587238033029196
18,0.0004942504095707445,0.02245462400113338,-0.8686740686214438,0.07702948605650964,0.3521532410587404,0.22563662372302598,0.1926955816380815,0.1524850675236424
19,0.0004081705353773667,0.020181917681407115,-0.9707615388141183,0.2918449635521877,0.16753308641629955,0.040585267287136656,0.05464124914648976,0.44539543359788636
20,0.0006862926466072133,0.023280506938367314,-0.8296085392179727,0.2508446582087169,0.1931779957708151,0.0734024619853387,0.26757416221383135,0.215000721821298
21,0.00035805542192717866,0.01993643040330395,-0.9852287586456637,0.2941104109762795,0.18435444935781709,0.11168945934807009,0.03954522731943422,0.37030045299839903
22,0.0008064269506830948,0.02463485977002128,-0.7791224804402581,0.26497256112818124,0.11764705677841154,0.17787259254957463,0.33673821140218774,0.10276957814164489
23,0.0004404797523653593,0.02077559800631822,-0.9414660527069427,0.2523908735209741,0.22348845947703389,0.21198091987321707,0.12731090500869002,0.1848288421200849
24,0.0004931488044780399,0.02297239413690464,-0.8491431532678015,0.3289190933134898,0.365943671014884,0.04755255286456085,0.23415077777034277,0.02343390503672261
25,0.00038297285236274617,0.020140526034652488,-0.974007685493689,0.2976881680555357,0.19878057685788553,0.08709299717157266,0.062312575120136965,0.3541256827948693
26,0.00041621092786833054,0.021597475703359906,-0.9067628708611086,0.06524730726545633,0.35383402457255825,0.22224054746928404,0.13266854379581106,0.22600957689689025
27,0.0006741477853051694,0.025837914306359615,-0.7479648699793877,0.009790717526173519,0.4115521648379807,0.20707434745885853,0.3360630963844935,0.035519673792493725
28,0.0005789728738651125,0.02184276342993477,-0.8891286667290013,0.1643888707394168,0.16575647339056657,0.3167894642168512,0.19312466867315256,0.15994052298001282
29,0.0006575410400540192,0.023500970143517763,-0.8230493822945936,0.16899968423262315,0.20988825424485003,0.3295936063507168,0.2778376775567775,0.013680777615032625
30,0.00047988571435759813,0.02264197545242199,-0.8621206363667511,0.3272036793315081,0.3548710730828393,0.05553729450760488,0.21939300063396938,0.042994952444078464
31,0.0006953924637723651,0.022494565858155197,-0.8581898249540535,0.2162559889704458,0.09047138170677882,0.21213268219387332,0.2338702212447284,0.24726972588417367
32,0.00018428403447089906,0.0210441972640732,-0.9416237510450745,0.05835721468720592,0.49615213072847,0.12469397935442725,0.020264278853317285,0.3005323963765796
33,0.0004183108933271602,0.020774534432131862,-0.942581369062401,0.11312048847868232,0.25306169287081814,0.2464931477868172,0.09671812137606352,0.29060654948761894
34,0.0009090995026315366,0.027462437601515205,-0.6951640919273366,0.13452279150368343,0.23816663581403383,0.11836035469939998,0.43283421469470723,0.07611600328817553
35,0.0007774330226289476,0.024139965338210598,-0.7962963785595869,0.014428333428874464,0.1397826514216169,0.31881825988155144,0.28646714479895735,0.24050361046899993
36,0.0003748306506365295,0.02044228523272963,-0.9600281536988879,0.2626901364068163,0.2634728312796799,0.15300866909117236,0.09316585688599445,0.2276625063363369
37,0.0007970222463091517,0.02508669535204677,-0.765464621155218,0.30932687852772306,0.17468512265158498,0.04416320129802461,0.34912441192277593,0.12270038559989138
38,0.0008297554962383725,0.02543454249711886,-0.7537090358882284,0.4099948818698562,0.10546041371993388,0.05372482652379273,0.36373522471822384,0.06708465316819334
39,0.00036651602323737275,0.02084327140675462,-0.9419578910439204,0.08299568299387267,0.27749569719414363,0.40489517999998487,0.09094317569120346,0.1436702641207953
40,0.00019310508411766775,0.020427617526681957,-0.9696135582140769,0.3228685203484336,0.40361487963941395,0.20796573151312583,0.05976290787650568,0.00578796062252081
41,0.00046736047215579786,0.02042425915218173,-0.9563450689841897,0.1377413293812491,0.07906331708333743,0.4064409132676997,0.07307176366962674,0.30368267659808706
42,0.0006951924279660438,0.02333813917952593,-0.8271785262541268,0.23183143540377593,0.19404923950394248,0.06671004177287643,0.2685171105010012,0.23889217281840394
43,0.0009471275735861313,0.02627558514702059,-0.7251169600907742,0.3186736964940777,0.05651632230424401,0.053366624792280146,0.3999948379024766,0.17144851850692153
44,0.0008225818728284908,0.025356538651221033,-0.756310567106841,0.11169138646634065,0.18132868133671146,0.24600945272217642,0.35466140719012834,0.1063090722846431
45,0.0007423381583974041,0.023453817989839403,-0.8210885686051348,0.41198938682057457,0.011074560188118195,0.24733306247259268,0.28242715922831474,0.04717583129039963
46,0.0006443870294931286,0.022310558390360044,-0.8675539460666324,0.045941410394757534,0.13720078544376116,0.31630457647719595,0.19511981025860303,0.3054334174256825
47,0.0002100599777274094,0.019693571314082645,-1.0048934094610373,0.3683836948669425,0.21405286849692248,0.35940838673363473,0.008168945380667699,0.04998610452183276
48,0.000499876784918479,0.021664769318745333,-0.9000845071638561,0.276875657489124,0.26598944293691806,0.07765895368804047,0.17717881531386853,0.20229713057204896
49,0.0004445648056167144,0.02094059023588202,-0.9338531041438722,0.323362842916249,0.22474782782487462,0.15374475810520377,0.13943965005087997,0.1587049211027926
50,0.00031172816697085614,0.020701871410839314,-0.9510382632712395,0.2652476186803734,0.3529511792986602,0.18467454741869097,0.10083713047580349,0.09628952412647193
51,0.0002279236797931375,0.020103681813545483,-0.9835052356869681,0.3203354071179118,0.3506312066651167,0.04520596651267576,0.02858009438248572,0.25524732532181
52,0.00034262486066899124,0.02092403985256853,-0.9394636637015374,0.062307050241345065,0.3515170880333249,0.13228165131457503,0.06132610523533964,0.39256810517541546
53,0.0003732002243834037,0.0215990998887693,-0.9086860043562174,0.22353948611217234,0.3844953694671675,0.20744458435978427,0.15596158280852276,0.028558977252353106
