,Min-variance,Max-return,Dollar-neutral random search,Risk-parity,Tangency
NIKE,0.2,0.18659115394534112,0.0,0.2331629304112088,9.020562075079397e-17
AMZN,0.2,0.17223151603847556,-0.00531480904402401,0.20557328179434334,0.0
GOOGLE,0.2,0.1911805124101185,0.0,0.22034045578679812,6.245004513516506e-17
TESLA,0.2,0.25,0.00531480904402401,0.12782386945253774,0.9999999999999999
MSFT,0.2,0.19999681760606475,0.0,0.21309946255511206,8.326672684688674e-17
