portfolio,mean,std,variance,daily_sharpe,annualized_sharpe
Min-Variance,0.0005778602004192503,0.021955179055675362,0.0004820298873667661,-0.8846268003703742,-14.04301510129675
Max-Return,0.0006729936287326436,0.022893339701647974,0.0005241050026950514,-0.8442196124786505,-13.401570879250981
Dollar-Neutral Random Search,1.1117590590343478e-05,0.0002125182694778611,4.516401486186478e-08,-94.05724250682356,-1493.1124360652914
Risk-Parity,0.00045909327228024565,0.02078796220183949,0.0004321393725051074,-0.9400106916680182,-14.922207119372349
Tangency,0.0019302082466014375,0.04548840683067675,0.002069195155993159,-0.3972394949038432,-6.305981486690874
